City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
416,Manaus,-3.1019,-60.025,84.7,83,75,5.75,BR,2022-02-10 16:32:39
417,Atocha,-20.9333,-66.2333,60.82,26,2,14.27,BO,2022-02-10 16:37:32
418,Havelock,34.8791,-76.9013,64.98,46,0,1.99,US,2022-02-10 16:37:32
419,Rundu,-17.9333,19.7667,76.28,59,56,6.49,NA,2022-02-10 16:37:33
420,Svetlaya,46.5389,138.3297,15.53,80,44,5.12,RU,2022-02-10 16:37:33
421,Cap Malheureux,-19.9842,57.6142,79.47,73,26,6.71,MU,2022-02-10 16:37:33
422,Itigi,-5.7,34.4833,64.45,94,98,1.74,TZ,2022-02-10 16:37:34
423,Ulladulla,-35.35,150.4667,67.77,92,100,11.45,AU,2022-02-10 16:35:49
424,Corona,33.8753,-117.5664,76.95,28,0,28.77,US,2022-02-10 16:37:14
425,Santa Lucia,27.9117,-15.5407,65.52,43,0,11.5,ES,2022-02-10 16:37:34
426,Tazovskiy,67.4667,78.7,-0.71,82,4,15.17,RU,2022-02-10 16:37:34
427,Broome,42.2506,-75.833,42.71,63,100,10.36,US,2022-02-10 16:33:38
428,Ust-Tsilma,65.441,52.1498,26.06,87,100,10.07,RU,2022-02-10 16:37:35
429,Dhidhdhoo,6.8833,73.1,80.64,77,67,12.8,MV,2022-02-10 16:37:35
430,Sao Joaquim,-28.2939,-49.9317,70.7,41,8,4.52,BR,2022-02-10 16:37:35
431,Ilabaya,-17.4208,-70.5133,74.21,43,93,11.18,PE,2022-02-10 16:37:36
432,Canandaigua,42.8742,-77.288,40.24,71,78,7.0,US,2022-02-10 16:37:36
433,Vao,-22.6667,167.4833,81.68,86,100,43.98,NC,2022-02-10 16:37:36
434,Chirongui,-12.9319,45.1483,76.93,81,100,15.41,YT,2022-02-10 16:37:37
435,Hambantota,6.1241,81.1185,78.24,78,69,1.7,LK,2022-02-10 16:37:37
436,Yelanskiy,56.8419,62.5014,6.31,95,97,10.04,RU,2022-02-10 16:37:37
437,Salinopolis,-0.6136,-47.3561,79.95,84,89,7.54,BR,2022-02-10 16:37:38
438,Burnie,-41.0667,145.9167,55.94,79,5,8.61,AU,2022-02-10 16:37:38
439,Te Anau,-45.4167,167.7167,55.49,94,56,1.77,NZ,2022-02-10 16:37:38
440,San Patricio,28.017,-97.5169,65.88,50,96,3.4,US,2022-02-10 16:37:38
441,Pontal Do Parana,-25.6533,-48.5128,85.66,63,16,7.23,BR,2022-02-10 16:37:39
442,Hoshcha,50.6003,26.6744,39.22,87,98,8.63,UA,2022-02-10 16:37:39
443,Dakar,14.6937,-17.4441,97.68,39,87,9.22,SN,2022-02-10 16:36:30
444,Poplar Bluff,36.757,-90.3929,49.78,46,0,5.01,US,2022-02-10 16:37:39
445,Micheweni,-4.9667,39.8333,80.64,77,95,13.6,TZ,2022-02-10 16:37:40
446,Moramanga,-18.9333,48.2,68.81,95,39,3.58,MG,2022-02-10 16:37:40
447,Tiarei,-17.5333,-149.3333,77.02,77,27,12.97,PF,2022-02-10 16:37:40
448,Cairns,-16.9167,145.7667,76.06,95,11,0.0,AU,2022-02-10 16:37:41
449,Sovetskiy,61.3614,63.5842,8.96,95,100,11.27,RU,2022-02-10 16:37:41
450,Araouane,18.9048,-3.5265,81.3,9,19,13.73,ML,2022-02-10 16:37:41
