City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
202,Kawalu,ID,73.13,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
203,Bengkulu,ID,74.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
204,Pemangkat,ID,75.74,light rain,1.1667,108.9667,Ramah Kost KITA
205,Bhadrak,IN,68.34,clear sky,21.0633,86.5054,Hotel bluevine
206,Kongoussi,BF,78.71,clear sky,13.3258,-1.5347,Hôtel La Sagesse
207,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
211,San Buenaventura,MX,71.47,overcast clouds,27.0833,-101.5333,Hotel Gran Plaza
212,Penha,BR,81.55,few clouds,-26.7694,-48.6458,Hotel Mirante Do Parque
215,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
216,San Vito,CR,72.43,broken clouds,8.8208,-82.9709,Cascata Del Bosco Hotel and Restaurant
218,Ojinaga,MX,71.56,clear sky,29.5667,-104.4167,Suites Las Palmas
220,Iralaya,HN,78.89,clear sky,15.0,-83.2333,Iglesia morava renovada
221,Salina Cruz,MX,86.49,clear sky,16.1667,-95.2,Amerik HOTEL
222,Guiglo,CI,77.81,broken clouds,6.5456,-7.4966,Hotel GBAOLY 2
223,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,Saint George,US,68.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
228,Chuy,UY,74.77,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
229,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
231,Fortuna,US,80.85,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
232,Iguai,BR,77.02,clear sky,-14.7564,-40.0892,CadHotel
235,Namatanai,PG,79.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
237,Bandarbeyla,SO,73.76,few clouds,9.4942,50.8122,JABIR HOTEL
239,Denpasar,ID,78.46,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
243,Key Biscayne,US,78.03,scattered clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
245,Half Moon Bay,US,79.5,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
249,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel El Emigrante
250,Esperance,AU,73.72,few clouds,-33.8667,121.9,Hospitality Esperance
253,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
254,Port Macquarie,AU,66.88,light rain,-31.4333,152.9167,Rydges Port Macquarie
255,Palmas,BR,76.57,overcast clouds,-10.2128,-48.3603,Hotel Lago da Palma
257,Ahipara,NZ,74.12,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
261,Ibate,BR,71.87,overcast clouds,-21.9547,-47.9967,Hotel Veneza
262,Hirara,JP,65.1,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
264,Ponnani,IN,78.12,broken clouds,10.767,75.9252,Rouba Residency
265,Geraldton,AU,66.61,light rain,-28.7667,114.6,Broadwater Mariner Resort
266,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
267,Flic En Flac,MU,77.56,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
268,Loandjili,CG,78.01,clear sky,-4.7561,11.8578,Résidence ARCHANGE
269,Eyl,SO,72.18,clear sky,7.9803,49.8164,Amiin Hotel
271,Ranong,TH,75.58,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
272,Porterville,US,75.6,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
277,Cockburn Town,TC,77.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
279,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
280,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
281,Starkville,US,70.79,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
284,San Rafael,AR,86.86,moderate rain,-34.6177,-68.3301,Hotel San Rafael
285,Faanui,PF,81.14,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
287,Grand-Lahou,CI,79.21,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
289,Edgewater,US,73.44,clear sky,28.9889,-80.9023,Islander Beach Resort
292,Turbat,PK,65.53,clear sky,26.0023,63.044,Mubashar Quarters
295,Mahina,PF,83.97,scattered clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
296,Noumea,NC,80.58,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
297,Hillsborough,US,78.91,clear sky,37.5741,-122.3794,Hyatt Regency San Francisco Airport
299,Mazatlan,MX,75.16,clear sky,23.2167,-106.4167,Hotel Playamar
300,Kisangani,CD,78.53,overcast clouds,0.5167,25.2,Grand Ramela Hotel
302,Galle,LK,75.69,heavy intensity rain,6.0367,80.217,Amangalla
303,Binga,ZW,71.37,few clouds,-17.6203,27.3414,Lakeview Inn Binga
306,Pangkalanbuun,ID,73.15,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
307,Morondava,MG,81.37,overcast clouds,-20.2833,44.2833,La Case Bambou
308,Nanga Eboko,CM,72.27,clear sky,4.6833,12.3667,Motel Papi Palace
